name,lig_ligand_homo,lig_ligand_homo_minus_1,lig_ligand_lumo,lig_ligand_lumo_plus_1,lig_ligand_hl_gap,lig_ligand_fermi_level,lig_ligand_energy,lig_ligand_IP_shift,lig_ligand_IP,lig_ligand_EA_shift,lig_ligand_EA,lig_ligand_GEI,lig_ligand_f_plus_atom_0,lig_ligand_f_minus_atom_0,lig_ligand_f_zero_atom_0,lig_ligand_mulliken_atom_0,lig_ligand_cm5_atom_0,lig_ligand_f_plus_atom_1,lig_ligand_f_minus_atom_1,lig_ligand_f_zero_atom_1,lig_ligand_mulliken_atom_1,lig_ligand_cm5_atom_1,lig_ligand_atom_num,lig_ligand_weight,lig_ligand_farthest_distance,lig_ligand_mol_radius,lig_ligand_mol_size_short,lig_ligand_mol_size_2,lig_ligand_mol_size_l,lig_ligand_length_ratio,lig_ligand_len_div_diameter,lig_ligand_mpp,lig_ligand_sdp,lig_ligand_dipole_moment,lig_ligand_quadrupole_moment,lig_ligand_octopole_moment,lig_morfeus_area,lig_morfeus_volume,lig_morfeus_p_int,lig_morfeus_sasa_area,lig_morfeus_sasa_volume,lig_morfeus_vbur_atom_0,lig_morfeus_sasa_atom_0,lig_morfeus_pyr_P_atom_0,lig_morfeus_pyr_P_angle_atom_0,lig_morfeus_vbur_atom_1,lig_morfeus_sasa_atom_1,lig_morfeus_pyr_P_atom_1,lig_morfeus_pyr_P_angle_atom_1
frame_2_oxolane_2_butane_0_SINGLE_benzene_0_3,-9.7309,-9.8532,-6.3182,-5.9212,3.4126,-8.0245,-102.667370183628,4.8455,7.6225,4.8455,0.4043,1.1157476628522345,0.142,0.162,0.152,0.01788,-0.09865,0.148,0.164,0.156,0.01181,-0.10809,76,504.57926,74.0,8.822,8.909,13.047,17.432,0.4425713415253375,0.987984583994559,1.650595,6.609719,47.861487,331.696589,6091.1937,612.793806808334,659.7728612655301,20.91071500101955,755.1715359437746,1342.883160127998,0.6691611535594484,18.52994745288261,0.9234787385981768,7.3950954057570835,0.7307468319045844,8.449976037607017,0.8958893055547705,6.987961194543023
frame_2_oxolane_2_butane_0_SINGLE_benzene_0_7,-9.7975,-9.9149,-6.3797,-5.8697,3.4179,-8.0886,-102.674296564546,4.8455,7.7389,4.8455,0.1539,1.026636319050758,0.179,0.159,0.169,0.01461,-0.10195,0.168,0.169,0.168,0.00774,-0.11077,76,504.57926,70.0,9.148,8.908,12.059,17.899,0.4605310554211907,0.9783012680367296,1.503424,6.434453,49.359632,372.229454,7254.8197,596.5047452437695,657.207193653165,20.83841543159605,736.1905480298019,1318.4015886700877,0.6701919493104733,18.35994793496625,0.921770692655143,7.375621854703032,0.7240903373089825,10.909969061573074,0.9035167969812934,7.07866702731536
frame_2_oxolane_2_butane_0_SINGLE_butane_0_3,-9.7162,-9.8342,-6.2963,-4.5437,3.4199,-8.0063,-100.445717036516,4.8455,7.7325,4.8455,-0.1802,0.9010393937909942,0.217,0.174,0.195,0.00846,-0.10821,0.235,0.177,0.206,-0.00049,-0.12076,78,484.58955,78.0,9.253,8.845,13.636,18.358,0.4495212909228923,0.9920025937533772,1.647207,6.468268,53.264719,442.712724,9637.4414,623.7282428174871,668.9662902637864,20.148827560180344,767.1602130532493,1342.7984458767692,0.6687301994036526,18.70994694244109,0.9238733036400923,7.390338157842605,0.7295355013045098,8.549975754028395,0.8976051043001735,7.015421643372392
frame_2_oxolane_2_butane_1_SINGLE_benzene_0_0,-9.7376,-9.8097,-6.3252,-5.9589,3.4124,-8.0314,-102.668212392153,4.8455,7.6806,4.8455,0.3066,1.0814239869812854,0.147,0.173,0.16,0.0187,-0.09809,0.159,0.169,0.164,0.01067,-0.10919,76,504.57926,74.0,7.394,10.021,12.827,14.379,0.3862519139334353,0.972342439816067,1.638669,7.656009,58.473839,528.55729,12144.4768,585.6988579259122,657.5466635774792,21.4963135044454,717.0812194500564,1303.0053672638453,0.6746296123742079,17.809949494648627,0.9148296480389968,7.261960204615527,0.7301761088333955,8.84997490329256,0.8945744728917746,6.979681485185402
frame_2_oxolane_2_ethene_0_SINGLE_benzene_0_1,-9.6312,-9.938,-7.3137,-5.9853,2.3174,-8.4725,-95.295258102145,4.8455,7.4459,4.8455,1.2428,1.5212858830665317,0.132,0.171,0.151,0.02015,-0.09887,0.125,0.133,0.129,0.01627,-0.10521,68,474.51014,66.0,7.544,8.828,13.151,14.854,0.4032796676893003,0.98449098621421,1.412418,6.363322,56.62589,497.985924,11208.2608,545.2800357558278,603.2565369143185,21.10600719773525,688.6417797403121,1221.3364827446742,0.6738608833395453,17.749949664795793,0.925212654840811,7.3802285910864125,0.724265048453224,9.819972152579984,0.8999272611140219,7.050058881714378
frame_2_pyrimidine_0_benzene_0_SINGLE_benzene_0_2,-10.4765,-10.5058,-8.0602,-8.0235,2.4164,-9.2684,-103.789240603269,4.8455,7.987,4.8455,1.9562,2.049214578497049,0.093,0.085,0.089,0.03282,-0.08382,0.089,0.052,0.071,0.03734,-0.08551,62,556.49792,60.0,8.871,8.217,12.618,17.216,0.4524454022233318,0.9703528350805998,1.447338,5.881144,51.522245,417.409928,9093.1577,556.0970781979684,621.9565185084517,23.62157025435262,714.0524407869059,1285.3884721785794,0.6639955273947075,16.14995420205364,0.9510376272376816,7.825556550850039,0.7703130823704808,6.389981879326488,0.9137314005580917,7.213368597574026
frame_2_pyrimidine_0_butane_0_SINGLE_benzene_0_7,-10.4333,-10.4727,-8.0661,-8.02,2.3672,-9.2497,-101.566675421969,4.8455,7.9811,4.8455,1.8974,2.005045495545474,0.098,0.105,0.102,0.03207,-0.08482,0.095,0.059,0.077,0.03616,-0.08616,64,536.50821,58.0,8.96,9.368,12.201,17.189,0.4434955364053872,0.959207589285714,1.549501,7.147968,51.247568,424.64315,9620.6718,563.633100790654,622.6843941235084,22.48696714563802,723.3112042056152,1289.0762367688687,0.6661095322400298,16.289953805043577,0.9495227521824688,7.796613107967546,0.7660967200894521,7.139979752486869,0.9143431241794784,7.233614666085264
frame_2_pyrimidine_0_ethane_0_SINGLE_benzene_0_5,-10.4383,-10.4798,-8.0721,-8.0286,2.3662,-9.2552,-95.237155716825,4.8455,8.0013,4.8455,1.8917,2.00241114393741,0.099,0.108,0.103,0.03196,-0.08494,0.095,0.061,0.078,0.03607,-0.08621,58,508.45498,52.0,7.842,8.65,11.902,14.409,0.4121449615285604,0.918706962509564,1.457077,6.440834,51.457884,429.803711,9802.2018,515.5300911980033,576.2701356995283,22.84596486703182,662.6612234734015,1186.9261606591128,0.6658008758852031,16.3999534931071,0.9497910107360262,7.800815239837239,0.7657240029817368,7.169979667413285,0.9147127841266048,7.238261026774578
frame_3_13-bis-trifluoromethyl-benzene_13_fluorane_0,-11.1048,-11.4386,-8.3734,-8.2347,2.7314,-9.7391,-200.949621518574,4.8455,8.8021,4.8455,2.3939,2.445117505695828,0.087,0.186,0.137,0.14091,0.1018,0.087,0.186,0.137,0.14088,0.10179,72,947.35314,53.0,7.533,9.807,11.599,13.872,0.3932195702704235,0.9207487056949422,1.84407,6.867019,55.407249,489.401953,11337.7185,596.499412907476,718.9862853005034,22.822088127909545,742.9335410246375,1476.844942327342,0.9244665486395826,0.0999997164213783,0.9220434688113514,7.367767405361321,0.9244723723443906,0.0899997447792491,0.922016492789952,7.36712492558131
frame_3_13-bis-trifluoromethyl-benzene_6_bromane_0,-11.8694,-12.4705,-9.4781,-9.1618,2.3913,-10.6738,-200.361183068775,4.8455,9.5232,4.8455,3.1612,3.161230811065703,0.094,0.2,0.147,0.1164,0.05976,0.096,0.186,0.141,0.11978,0.06174,72,1008.25827,57.0,8.502,10.342,14.469,16.658,0.4016976536690058,0.9796518466243236,1.721094,7.374994,50.123057,377.73746,7431.6076,680.9441490323641,759.587786383607,22.998706150925504,856.1190291490898,1660.103057009938,0.6861721953037644,15.589955790093889,0.9639256288343672,8.074269300179715,0.7658812430115542,3.64998964938054,0.9782249031043588,8.383602679834624
